model,run_index,created_at,done_reason,prompt_eval_count,prompt_eval_duration_seconds,prompt_tokens_per_second,eval_count,eval_duration_seconds,output_tokens_per_second,total_duration_seconds,load_duration_seconds,client_wall_seconds,wall_output_tokens_per_second,response_chars,thinking_chars,response_preview
gemma4:e4b,1,2026-05-09T16:15:24.668445751Z,length,54,0.165,326.769,256,37.692,6.792,38.587,0.515,38.595,6.633,403,0,## Technical Note: Local Small Language Models (SLMs) for Privacy-Preserving AI Assistants\n\n**Subject:** Leveraging On-Device SLMs for Enhanced Data Privacy in AI Assistants.\n\n**Overview:** Traditiona
gemma4:e4b,2,2026-05-09T16:16:03.351075222Z,length,54,0.145,371.815,256,37.661,6.798,38.677,0.633,38.68,6.618,403,0,## Technical Note: Local Small Language Models (SLMs) for Privacy-Preserving AI Assistants\n\n**Subject:** Leveraging On-Device SLMs for Enhanced Data Privacy in AI Assistants.\n\n**Overview:** Traditiona
gemma4:e4b,3,2026-05-09T16:16:42.655725078Z,length,54,0.166,324.88,256,38.378,6.67,39.301,0.505,39.305,6.513,403,0,## Technical Note: Local Small Language Models (SLMs) for Privacy-Preserving AI Assistants\n\n**Subject:** Leveraging On-Device SLMs for Enhanced Data Privacy in AI Assistants.\n\n**Overview:** Traditiona
jingyaogong/minimind2:latest,1,2026-05-09T16:16:47.507567511Z,length,81,0.009,9133.689,256,2.742,93.359,2.78,0.007,2.784,91.968,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,2,2026-05-09T16:16:50.448613587Z,length,81,0.01,7905.097,256,2.896,88.412,2.934,0.007,2.938,87.139,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,3,2026-05-09T16:16:53.221371628Z,length,81,0.012,7030.826,256,2.729,93.821,2.769,0.007,2.773,92.332,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind-3:latest,1,2026-05-09T16:17:13.460053656Z,length,136,0.007,18669.494,256,3.952,64.781,3.979,0.008,3.981,64.311,998,0,"Local small language is useful for privacy-preserving AI assistants. There are several key reasons why local small language is useful:\n\n1. **Specialized Specialization**: Languages like C, C++, Java, "
jingyaogong/minimind-3:latest,2,2026-05-09T16:17:18.213010475Z,length,136,0.004,36549.197,256,4.724,54.196,4.751,0.012,4.753,53.862,998,0,"Local small language is useful for privacy-preserving AI assistants. There are several key reasons why local small language is useful:\n\n1. **Specialized Specialization**: Languages like C, C++, Java, "
jingyaogong/minimind-3:latest,3,2026-05-09T16:17:20.529974879Z,length,136,0.008,17108.915,256,2.286,111.986,2.315,0.01,2.317,110.496,998,0,"Local small language is useful for privacy-preserving AI assistants. There are several key reasons why local small language is useful:\n\n1. **Specialized Specialization**: Languages like C, C++, Java, "
jingyaogong/minimind-3-moe:latest,1,2026-05-09T16:17:44.513075842Z,length,136,0.029,4639.641,256,1.651,155.055,1.702,0.01,1.704,150.226,747,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical capabilities, including:\n\n**Practical Applications:**\n- **Mu"
jingyaogong/minimind-3-moe:latest,2,2026-05-09T16:17:46.955251792Z,length,136,0.007,19280.56,256,2.411,106.185,2.44,0.011,2.444,104.727,747,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical capabilities, including:\n\n**Practical Applications:**\n- **Mu"
jingyaogong/minimind-3-moe:latest,3,2026-05-09T16:17:48.386710535Z,length,136,0.043,3174.031,256,1.363,187.884,1.427,0.01,1.431,178.876,747,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical capabilities, including:\n\n**Practical Applications:**\n- **Mu"
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,1,2026-05-09T16:17:54.471902723Z,length,77,0.004,21841.586,256,2.26,113.272,2.286,0.01,2.289,111.85,0,835,
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,2,2026-05-09T16:17:56.664830963Z,length,77,0.004,18208.798,256,2.161,118.437,2.189,0.011,2.199,116.413,0,835,
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,3,2026-05-09T16:17:59.515866982Z,length,77,0.007,11673.947,256,2.816,90.914,2.842,0.008,2.845,89.989,0,835,
