model,run_index,created_at,done_reason,prompt_eval_count,prompt_eval_duration_seconds,prompt_tokens_per_second,eval_count,eval_duration_seconds,output_tokens_per_second,total_duration_seconds,load_duration_seconds,client_wall_seconds,wall_output_tokens_per_second,response_chars,thinking_chars,response_preview
gemma3:4b,2,2026-05-10T22:43:51.903174717Z,length,47,0.011,4264.106,256,2.689,95.212,3.099,0.275,3.103,82.512,1244,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
gemma3:4b,3,2026-05-10T22:43:55.002470593Z,length,47,0.011,4239.949,256,2.693,95.057,3.097,0.271,3.099,82.595,1244,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
jingyaogong/minimind2:latest,1,2026-05-10T22:46:57.055255257Z,length,81,0.002,38811.245,256,0.403,634.869,0.435,0.005,0.439,583.806,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,2,2026-05-10T22:46:57.46987676Z,length,81,0.002,44561.931,256,0.381,672.276,0.411,0.005,0.416,614.664,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind2:latest,3,2026-05-10T22:46:57.887402097Z,length,81,0.002,45789.047,256,0.381,671.195,0.412,0.005,0.415,616.98,1008,0,"There are several ways to handle the situation with sensitive information, such as a username or email address, a software application that allows users to access their data without having to share it"
jingyaogong/minimind-3:latest,1,2026-05-10T22:47:05.066794139Z,length,136,0.001,101338.261,256,0.23,1113.57,0.244,0.006,0.246,1041.8,828,0,Local small language is useful for privacy-preserving AI assistants. The key is to be mindful of the language's limitations and to be easily accessible to users. There are several practical limitation
jingyaogong/minimind-3:latest,2,2026-05-10T22:47:05.301555469Z,length,136,0.001,135702.269,256,0.198,1294.78,0.233,0.028,0.235,1090.719,828,0,Local small language is useful for privacy-preserving AI assistants. The key is to be mindful of the language's limitations and to be easily accessible to users. There are several practical limitation
jingyaogong/minimind-3:latest,3,2026-05-10T22:47:05.513150658Z,length,136,0.001,137079.916,256,0.197,1297.166,0.21,0.006,0.212,1209.904,828,0,Local small language is useful for privacy-preserving AI assistants. The key is to be mindful of the language's limitations and to be easily accessible to users. There are several practical limitation
jingyaogong/minimind-3-moe:latest,1,2026-05-10T22:47:20.746216448Z,length,136,0.001,94947.336,256,0.267,957.647,0.281,0.006,0.283,905.52,800,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical skills, including:\n\n**Memory and Capacity** - Enables access"
jingyaogong/minimind-3-moe:latest,2,2026-05-10T22:47:20.99832725Z,length,136,0.001,115493.544,256,0.237,1080.291,0.251,0.006,0.252,1015.588,800,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical skills, including:\n\n**Memory and Capacity** - Enables access"
jingyaogong/minimind-3-moe:latest,3,2026-05-10T22:47:21.250365232Z,length,136,0.001,115190.297,256,0.237,1079.687,0.251,0.006,0.252,1016.078,800,0,"# Why Local Small Language\n\n## Why Local Small Language\n\nLocal small language is a complex language that requires a wide range of technical skills, including:\n\n**Memory and Capacity** - Enables access"
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,1,2026-05-10T22:47:29.269462075Z,length,77,0.001,59635.003,256,0.247,1034.879,0.261,0.005,0.262,977.643,0,778,
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,2,2026-05-10T22:47:29.481502191Z,length,77,0.001,72651.585,256,0.198,1293.457,0.211,0.006,0.212,1207.933,0,778,
hf.co/jingyaogong/minimind-3-gguf:minimind-3.q8.gguf,3,2026-05-10T22:47:29.694406424Z,length,77,0.001,78027.624,256,0.199,1286.361,0.212,0.006,0.213,1202.291,0,778,
